,miRNA,Plasma_C1,Plasma_C2,Plasma_C3,Plasma_C4,Plasma_C5,Plasma_C6,Plasma_HP01_T,Plasma_HP02_T,Plasma_HP03_T,Plasma_HP04_T,Plasma_HP01_T,Tissue_HP01_T,Tissue_HP02_T,Tissue_HP03_T,Tissue_HP04_T,Tissue_HP05_T,Tissue_HP01_N,Tissue_HP03_N,Tissue_HP04_N,Tissue_HP05_N
209,hsa-miR-133a-5p,17,48,54,61,70,81,23,0,11,0,0,0,0,0,16,0,0,0,0,10
210,hsa-miR-133b,14,34,62,72,195,194,16,0,10,0,0,10,12,0,21,0,0,16,13,15
211,hsa-miR-134-3p,17,37,46,45,296,275,35,34,0,0,0,0,0,0,0,0,0,0,0,0
212,hsa-miR-134-5p,73,191,116,77,144,287,33,40,35,67,69,1300,1695,102,96,628,1792,40,3225,3103
213,hsa-miR-1343-3p,29,103,81,124,87,123,0,12,0,14,0,0,0,0,17,11,13,35,0,0
214,hsa-miR-1343-5p,18,48,38,59,56,80,0,22,21,0,0,0,0,25,0,0,0,162,11,0
215,hsa-miR-135a-3p,0,90,38,35,99,115,0,34,0,0,0,0,0,0,0,0,143,14,64,50
216,hsa-miR-135a-5p,0,15,0,27,43,42,0,0,0,0,0,128,141,10,88,113,340,32,529,373
217,hsa-miR-135b-3p,0,29,12,12,47,56,0,0,0,0,11,89,351,97,0,392,26,0,37,43
218,hsa-miR-135b-5p,16,43,50,73,64,53,0,16,13,0,0,2526,13799,2738,152,10737,1073,141,708,837
219,hsa-miR-136-3p,21,53,65,56,139,163,25,54,22,0,12,723,1461,14,27,257,480,41,1302,1768
220,hsa-miR-136-5p,27,57,70,71,52,81,11,14,12,0,0,187,540,0,15,101,156,20,514,443
221,hsa-miR-137,40,221,300,388,189,207,16,22,10,15,0,74,207,1170,10,16,66,45,49,61
222,hsa-miR-138-1-3p,18,81,118,207,69,92,12,0,0,0,0,0,0,0,22,0,0,13,0,10
223,hsa-miR-138-2-3p,37,90,98,131,317,327,31,19,14,31,0,0,0,0,10,0,0,0,0,12
224,hsa-miR-138-5p,25,51,62,85,198,232,22,11,30,0,0,43,244,0,757,23,35,27,101,145
225,hsa-miR-139-3p,113,235,263,229,285,340,218,31,95,214,140,56,23,118,134,29,58,24,120,104
226,hsa-miR-139-5p,26,73,85,106,99,139,16,0,16,0,16,67,64,120,273,34,96,71,110,169
227,hsa-miR-140-3p,279,701,1304,983,1180,1718,413,103,201,235,692,8082,14264,2591,19759,7209,4050,1689,8938,11609
228,hsa-miR-140-5p,43,152,236,242,153,308,17,11,28,29,12,692,1315,231,2537,637,722,188,592,803
229,hsa-miR-141-3p,27,61,102,160,160,202,91,11,102,35,37,26780,62530,26143,405,16482,57311,16234,39808,56944
230,hsa-miR-141-5p,48,99,60,71,231,521,59,58,16,0,0,1024,1565,953,22,472,1321,248,904,931
231,hsa-miR-142-3p,1033,1668,1258,2886,1766,2657,161,85,163,46,313,21760,30614,11379,66469,10571,40489,8622,16786,22885
232,hsa-miR-142-5p,539,1886,3519,3741,2235,4169,278,55,75,124,256,4902,10433,2481,8257,967,3661,2440,3290,5656
